Tiempo_s,Velocidad_kmh,Deceleracion_ms2,Energia_Disipada_kJ,Tipo_Frenado,Temperatura_Ambiente_C
0,0.0,0.0,0.0,Reposo,30.0
1,0.0,0.0,0.0,Reposo,29.996666666666666
2,0.0,0.0,0.0,Reposo,29.993333333333332
3,0.0,0.0,0.0,Reposo,29.99
4,0.0,0.0,0.0,Reposo,29.986666666666668
5,0.0,0.0,0.0,Reposo,29.983333333333334
6,0.0,0.0,0.0,Reposo,29.98
7,0.0,0.0,0.0,Reposo,29.976666666666667
8,0.0,0.0,0.0,Reposo,29.973333333333333
9,0.0,0.0,0.0,Reposo,29.97
10,0.0,0.0,0.0,Reposo,29.966666666666665
11,0.0,0.0,0.0,Reposo,29.963333333333335
12,0.0,0.0,0.0,Reposo,29.96
13,0.0,0.0,0.0,Reposo,29.956666666666667
14,0.0,0.0,0.0,Reposo,29.953333333333333
15,0.0,0.0,0.0,Reposo,29.95
16,0.0,0.0,0.0,Reposo,29.946666666666665
17,0.0,0.0,0.0,Reposo,29.94333333333333
18,0.0,0.0,0.0,Reposo,29.94
19,0.0,0.0,0.0,Reposo,29.936666666666667
20,0.0,0.0,0.0,Reposo,29.933333333333334
21,0.0,0.0,0.0,Reposo,29.93
22,0.0,0.0,0.0,Reposo,29.926666666666666
23,0.0,0.0,0.0,Reposo,29.923333333333332
24,0.0,0.0,0.0,Reposo,29.92
25,0.0,0.0,0.0,Reposo,29.916666666666668
26,0.0,0.0,0.0,Reposo,29.913333333333334
27,0.0,0.0,0.0,Reposo,29.91
28,0.0,0.0,0.0,Reposo,29.906666666666666
29,0.0,0.0,0.0,Reposo,29.903333333333332
30,0.0,0.0,0.0,Reposo,29.9
31,0.0,0.0,0.0,Reposo,29.89666666666667
32,0.0,0.0,0.0,Reposo,29.893333333333334
33,0.0,0.0,0.0,Reposo,29.89
34,0.0,0.0,0.0,Reposo,29.886666666666667
35,0.0,0.0,0.0,Reposo,29.883333333333333
36,0.0,0.0,0.0,Reposo,29.88
37,0.0,0.0,0.0,Reposo,29.876666666666665
38,0.0,0.0,0.0,Reposo,29.873333333333335
39,0.0,0.0,0.0,Reposo,29.87
40,0.0,0.0,0.0,Reposo,29.866666666666667
41,0.0,0.0,0.0,Reposo,29.863333333333333
42,0.0,0.0,0.0,Reposo,29.86
43,0.0,0.0,0.0,Reposo,29.856666666666666
44,0.0,0.0,0.0,Reposo,29.85333333333333
45,0.0,0.0,0.0,Reposo,29.85
46,0.0,0.0,0.0,Reposo,29.846666666666668
47,0.0,0.0,0.0,Reposo,29.843333333333334
48,0.0,0.0,0.0,Reposo,29.84
49,0.0,0.0,0.0,Reposo,29.836666666666666
50,0.0,0.0,0.0,Reposo,29.833333333333332
51,0.0,0.0,0.0,Reposo,29.83
52,0.0,0.0,0.0,Reposo,29.826666666666668
53,0.0,0.0,0.0,Reposo,29.823333333333334
54,0.0,0.0,0.0,Reposo,29.82
55,0.0,0.0,0.0,Reposo,29.816666666666666
56,0.0,0.0,0.0,Reposo,29.813333333333333
57,0.0,0.0,0.0,Reposo,29.81
58,0.0,0.0,0.0,Reposo,29.806666666666665
59,0.0,0.0,0.0,Reposo,29.803333333333335
60,0.0,0.0,0.0,Reposo,29.8
61,0.0,0.0,0.0,Reposo,29.796666666666667
62,0.0,0.0,0.0,Reposo,29.793333333333333
63,0.0,0.0,0.0,Reposo,29.79
64,0.0,0.0,0.0,Reposo,29.786666666666665
65,0.0,0.0,0.0,Reposo,29.783333333333335
66,0.0,0.0,0.0,Reposo,29.78
67,0.0,0.0,0.0,Reposo,29.776666666666667
68,0.0,0.0,0.0,Reposo,29.773333333333333
69,0.0,0.0,0.0,Reposo,29.77
70,0.0,0.0,0.0,Reposo,29.766666666666666
71,0.0,0.0,0.0,Reposo,29.763333333333332
72,0.0,0.0,0.0,Reposo,29.76
73,0.0,0.0,0.0,Reposo,29.756666666666668
74,0.0,0.0,0.0,Reposo,29.753333333333334
75,0.0,0.0,0.0,Reposo,29.75
76,0.0,0.0,0.0,Reposo,29.746666666666666
77,0.0,0.0,0.0,Reposo,29.743333333333332
78,0.0,0.0,0.0,Reposo,29.74
79,0.0,0.0,0.0,Reposo,29.736666666666668
80,0.0,0.0,0.0,Reposo,29.733333333333334
81,0.0,0.0,0.0,Reposo,29.73
82,0.0,0.0,0.0,Reposo,29.726666666666667
83,0.0,0.0,0.0,Reposo,29.723333333333333
84,0.0,0.0,0.0,Reposo,29.72
85,0.0,0.0,0.0,Reposo,29.716666666666665
86,0.0,0.0,0.0,Reposo,29.713333333333335
87,0.0,0.0,0.0,Reposo,29.71
88,0.0,0.0,0.0,Reposo,29.706666666666667
89,0.0,0.0,0.0,Reposo,29.703333333333333
90,0.0,0.0,0.0,Reposo,29.7
91,0.0,0.0,0.0,Reposo,29.696666666666665
92,0.0,0.0,0.0,Reposo,29.69333333333333
93,0.0,0.0,0.0,Reposo,29.69
94,0.0,0.0,0.0,Reposo,29.686666666666667
95,0.0,0.0,0.0,Reposo,29.683333333333334
96,0.0,0.0,0.0,Reposo,29.68
97,0.0,0.0,0.0,Reposo,29.676666666666666
98,0.0,0.0,0.0,Reposo,29.673333333333332
99,0.0,0.0,0.0,Reposo,29.67
100,0.0,0.0,0.0,Reposo,29.666666666666668
101,0.0,0.0,0.0,Reposo,29.663333333333334
102,0.0,0.0,0.0,Reposo,29.66
103,0.0,0.0,0.0,Reposo,29.656666666666666
104,0.0,0.0,0.0,Reposo,29.653333333333332
105,0.0,0.0,0.0,Reposo,29.65
106,0.0,0.0,0.0,Reposo,29.64666666666667
107,0.0,0.0,0.0,Reposo,29.643333333333334
108,0.0,0.0,0.0,Reposo,29.64
109,0.0,0.0,0.0,Reposo,29.636666666666667
110,0.0,0.0,0.0,Reposo,29.633333333333333
111,0.0,0.0,0.0,Reposo,29.63
112,0.0,0.0,0.0,Reposo,29.626666666666665
113,0.0,0.0,0.0,Reposo,29.623333333333335
114,0.0,0.0,0.0,Reposo,29.62
115,0.0,0.0,0.0,Reposo,29.616666666666667
116,0.0,0.0,0.0,Reposo,29.613333333333333
117,0.0,0.0,0.0,Reposo,29.61
118,0.0,0.0,0.0,Reposo,29.606666666666666
119,0.0,0.0,0.0,Reposo,29.60333333333333
120,0.0,0.0,0.0,Reposo,29.6
121,0.0,0.0,0.0,Reposo,29.596666666666668
122,0.0,0.0,0.0,Reposo,29.593333333333334
123,0.0,0.0,0.0,Reposo,29.59
124,0.0,0.0,0.0,Reposo,29.586666666666666
125,0.0,0.0,0.0,Reposo,29.583333333333332
